No,제목,회사,지역,Link
1,기구설계엔지니어,(주)프로써치코리아,경기 수원시 권선구,https://job.incruit.com/jobdb_info/jobpost.asp?job=2603030002960&src=etc*search
2,장비·기구설계&3D설계,아이엠에스(주),경기 평택시,https://job.incruit.com/jobdb_info/jobpost.asp?job=2602110000846&src=etc*search
3,기구설계/ 전장설계 경력직 채용,(주)브레인커머스,경북 구미시,https://job.incruit.com/jobdb_info/jobpost.asp?job=2603160002473&src=etc*search
4,"기계설계, 기구설계 외 신입/경력  채용",신명 이엔지,대구 북구,https://job.incruit.com/jobdb_info/jobpost.asp?job=2603090002724&src=etc*search
5,판금설계/기구설계 경력자 채용,흥부산업(주),인천 계양구,https://job.incruit.com/jobdb_info/jobpost.asp?job=2603310002066&src=etc*search
6,[중견사]기구설계(챔버설계)/대리-차장급,(주)피플스카우트,충남 외,https://job.incruit.com/jobdb_info/jobpost.asp?job=2603230000309&src=etc*search
7,(주)휴텀 기구설계 경력 채용,주식회사 휴텀,서울 영등포구,https://job.incruit.com/jobdb_info/jobpost.asp?job=2603240000211&src=etc*search
8,반도체 장비- 장비설계(기구설계) (과장-차장급),자바스서치 주식회사,경기,https://job.incruit.com/jobdb_info/jobpost.asp?job=2603290000198&src=etc*search
9,반도체 또는 디스플레이 장비 기구설계,비전서치,경기 화성시,https://job.incruit.com/jobdb_info/jobpost.asp?job=2603210000125&src=etc*search
10,[ 기구설계 ] 코스닥 중견 바이오기업 (대전 유성),(주)더라이징스타,대전 유성구,https://job.incruit.com/jobdb_info/jobpost.asp?job=2603160005504&src=etc*search
11,모터 기구설계 및 조립 공정총괄 / 팀장,탑커리어인사이트,경기 부천시 원미구,https://job.incruit.com/jobdb_info/jobpost.asp?job=2604010003587&src=etc*search
12,기구설계  대리/과장급 경력직 채용,(주)블루로봇,충남 천안시 서북구,https://job.incruit.com/jobdb_info/jobpost.asp?job=2602070000282&src=etc*search
13,"가전제품 기구설계, 성능 설계자 모집(공기청정기등)",두영실업(주),광주 광산구,https://job.incruit.com/jobdb_info/jobpost.asp?job=2603180003035&src=etc*search
